stack_type,Wavelength_nm,reflectance,dR_dlambda,step_749_750,slope_jump_749_750
simple,720.0,0.05269906533114861,4.980713654363644e-05,0.00877492783003233,0.025302908842261718
simple,721.0,0.05274887246769225,0.00011430705408399869,0.00877492783003233,0.025302908842261718
simple,722.0,0.05292767943931661,0.0001963675461219283,0.00877492783003233,0.025302908842261718
simple,723.0,0.053141607559936105,0.0001644970894350388,0.00877492783003233,0.025302908842261718
simple,724.0,0.05325667361818669,6.49179008085192e-05,0.00877492783003233,0.025302908842261718
simple,725.0,0.05327144336155314,7.398173620567702e-05,0.00877492783003233,0.025302908842261718
simple,726.0,0.05340463709059804,0.0003237831645842744,0.00877492783003233,0.025302908842261718
simple,727.0,0.05391900969072169,0.0006238716754761627,0.00877492783003233,0.025302908842261718
simple,728.0,0.054652380441550366,0.000683529630078162,0.00877492783003233,0.025302908842261718
simple,729.0,0.055286068950878016,0.0005828188838819907,0.00877492783003233,0.025302908842261718
simple,730.0,0.05581801820931435,0.0005632814164256983,0.00877492783003233,0.025302908842261718
simple,731.0,0.05641263178372941,0.0006523734122278642,0.00877492783003233,0.025302908842261718
simple,732.0,0.057122765033770076,0.0007103790273749327,0.00877492783003233,0.025302908842261718
simple,733.0,0.05783338983847928,0.0006571184618495013,0.00877492783003233,0.025302908842261718
simple,734.0,0.05843700195746908,0.0006268550741484261,0.00877492783003233,0.025302908842261718
simple,735.0,0.05908709998677613,0.0007999410237644472,0.00877492783003233,0.025302908842261718
simple,736.0,0.06003688400499797,0.0010446426627406247,0.00877492783003233,0.025302908842261718
simple,737.0,0.06117638531225738,0.001048222340998016,0.00877492783003233,0.025302908842261718
simple,738.0,0.062133328686994005,0.0008077997459187379,0.00877492783003233,0.025302908842261718
simple,739.0,0.06279198480409486,0.0006280106467345808,0.00877492783003233,0.025302908842261718
simple,740.0,0.06338934998046317,0.0006516938568065928,0.00877492783003233,0.025302908842261718
simple,741.0,0.06409537251770804,0.0007273351044424572,0.00877492783003233,0.025302908842261718
simple,742.0,0.06484402018934808,0.0007329654425273363,0.00877492783003233,0.025302908842261718
simple,743.0,0.06556130340276271,0.000730721343517933,0.00877492783003233,0.025302908842261718
simple,744.0,0.06630546287638395,-0.0011113639721142543,0.00877492783003233,0.025302908842261718
simple,745.0,0.0633385754585342,-0.004393584936157352,0.00877492783003233,0.025302908842261718
