Sample_Name,Sample_Scale_Factor,Transition_Start_nm,Transition_End_nm,R_abs_850nm,R_abs_1050nm
DEVICE-1-withAg-P1,0.9568160013825546,695.2803768354786,696.9548175819032,0.10452559194445746,0.02624412778337362
DEVICE-1-withAg-P2,0.9447813992601508,695.2803768354786,697.3733966422844,0.09632047690057363,0.025820851511546436
DEVICE-1-withAg-P3,0.9453606280491205,696.117622099459,698.2105173758412,0.09772199539695248,0.026709862581131734
DEVICE-1-withoutAg-P1,0.9443951440220805,693.18704614945,695.2803768354786,0.037160673175774685,0.024979162143033962
DEVICE-1-withoutAg-P2,0.9448547274643998,693.605737126344,696.117622099459,0.03362567893673403,0.026111591115576212
DEVICE-1-withoutAg-P3,0.9454098347281052,694.4430818308181,696.536226065926,0.03357962394457108,0.026114482924071026
DEVICE-2-withAg-P1,1.0303082365751273,700.3031008795518,702.3953719728876,0.13224778619348795,0.03324577955956912
DEVICE-2-withAg-P2,0.9417298515684689,698.6290590388095,700.7215801114488,0.12420820743654072,0.03037914639177033
DEVICE-2-withAg-P3,0.9333591485959827,700.7215801114488,702.8137886462204,0.1338490487571826,0.03586508299862041
DEVICE-2-withoutAg-P1,0.9486120541989951,699.8846091512388,702.3953719728876,0.0508257898502814,0.03569461861387256
DEVICE-2-withoutAg-P2,0.9386372018209412,699.8846091512388,701.976942777647,0.05040771892409607,0.035866798624126416
DEVICE-2-withoutAg-P3,0.9432967197973653,699.4661049316104,701.5585010655947,0.04501740749859302,0.035601992670879296
